Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
35.67,1108.44678,868.91449,1873.76514,722.05518,1212.13782,1536.37366,756.26154,925.75385,539.74475,147.66412,100.66475,79.85474,3048.146,778.297,222.98215,146.93048,158.44997,256.20398
36.0,1106.80347,868.91449,1871.86096,721.1377,1212.13782,1534.9801,756.76874,926.23004,538.91113,147.66412,100.66475,79.85474,3048.146,778.297,222.98215,146.93048,158.44997,257.38464
36.0,1106.80347,868.91449,1873.76514,721.1377,1212.13782,1534.28333,756.26154,925.27765,538.91113,147.66412,100.66475,79.85474,3050.37354,778.297,222.98215,146.93048,158.44997,257.38464
35.67,1108.44678,868.91449,1872.81299,722.05518,1212.13782,1536.37366,756.26154,925.75385,538.91113,147.66412,100.66475,79.85474,3047.03247,758.78821,222.98215,146.93048,158.44997,257.38464
35.67,1108.44678,868.91449,1872.81299,722.05518,1212.13782,1537.07043,756.76874,926.23004,539.74475,147.66412,100.66475,79.85474,3049.25977,778.297,222.98215,146.93048,159.35025,257.38464
35.33,1108.44678,869.85284,1872.81299,722.05518,1212.86841,1536.37366,756.76874,925.75385,539.74475,147.66412,100.66475,79.85474,3051.48706,780.35052,222.98215,146.93048,158.44997,257.38464
36.0,1106.80347,869.85284,1873.76514,722.05518,1212.86841,1537.07043,756.76874,925.75385,539.32794,147.66412,100.66475,79.85474,3051.48706,759.815,222.98215,146.93048,158.44997,257.38464
35.67,1108.44678,868.91449,1873.76514,722.05518,1212.13782,1537.07043,756.76874,925.75385,539.74475,147.66412,100.66475,79.85474,3049.25977,780.35052,222.98215,146.93048,158.44997,257.38464
35.67,1106.80347,868.91449,1871.86096,722.05518,1212.13782,1536.37366,756.26154,925.75385,539.74475,147.66412,100.66475,79.85474,3048.146,759.815,222.98215,146.93048,158.44997,257.38464
35.67,1107.62512,868.91449,1872.81299,722.05518,1211.4071,1536.37366,756.26154,926.23004,539.32794,147.66412,100.66475,79.85474,3047.03247,778.297,222.98215,146.93048,158.44997,257.38464
