Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
36.0,913.70856,711.27124,1533.85962,580.76355,1028.01563,1321.76904,645.18085,818.60645,498.48239,138.48293,93.20811,74.15083,2795.34033,721.82428,211.11237,138.62932,147.64656,244.39734
35.67,913.70856,710.33289,1533.85962,580.76355,1028.01563,1321.76904,645.18085,818.60645,498.48239,138.48293,93.20811,74.15083,2795.34033,740.30621,211.11237,138.62932,147.64656,244.39734
35.67,913.70856,710.33289,1532.90747,580.76355,1028.01563,1321.76904,645.18085,818.60645,498.48239,138.10037,93.20811,74.15083,2795.34033,720.79749,211.11237,138.62932,148.54684,244.39734
36.0,913.70856,710.33289,1533.85962,580.76355,1028.01563,1320.37561,645.18085,818.60645,498.48239,138.48293,93.20811,74.15083,2795.34033,739.27948,211.11237,138.62932,147.64656,244.39734
36.0,914.53027,709.39453,1531.95532,579.84607,1028.01563,1320.37561,645.18085,818.60645,498.48239,138.10037,93.20811,74.15083,2796.4541,739.27948,211.11237,138.62932,147.64656,244.39734
35.67,915.35193,711.27124,1534.81165,580.76355,1028.01563,1322.46582,645.68805,818.60645,498.89917,138.48293,93.20811,74.15083,2796.4541,739.27948,211.11237,138.62932,148.54684,244.39734
35.67,914.53027,709.39453,1533.85962,580.76355,1027.28491,1321.76904,645.18085,818.60645,498.48239,138.10037,93.20811,74.15083,2798.6814,720.79749,211.11237,138.62932,147.64656,244.39734
35.33,915.35193,711.27124,1533.85962,579.84607,1028.01563,1322.46582,645.18085,818.60645,498.48239,138.48293,93.20811,74.15083,2796.4541,739.27948,211.11237,138.62932,147.64656,244.39734
36.0,914.53027,710.33289,1533.85962,580.76355,1028.01563,1322.46582,645.68805,819.08264,498.89917,138.48293,93.20811,74.15083,2796.4541,741.33301,211.11237,138.62932,147.64656,244.39734
35.67,913.70856,711.27124,1532.90747,580.76355,1028.01563,1322.46582,645.18085,818.60645,498.48239,138.48293,93.20811,74.15083,2798.6814,720.79749,211.11237,138.62932,148.54684,244.39734
